Accession Number,Inventory (x = verified),Genus,Species,Date Collected,UUID,Verified
A36809,x,Ectocarpus,sp.,1968 Aug 19,6E695A1F-209E-0A4E-A5E5-4D1FD07CC559,03/17/2020
A38367,x,Ectocarpus,sp.,1968 Sep 01,C4B58234-21E4-C441-A7D5-93261F29B058,03/17/2020
A37818,x,Ectocarpus,sp.,1968 Aug 28,CD7A98E2-8B1A-FB42-9201-774AA7C51D6F,03/17/2020
A38098,x,Ectocarpus,sp.,1958 Aug 25,D1B5EE6B-B82E-FD4B-9A93-5E1620A78023,03/17/2020
A60231,x,Ectocarpus,sp.,1977 May 14,4D75795B-D3C3-FC4F-98F3-96AECE3B55B6,03/17/2020
A21466,x,Ectocarpus,sp.,1965 Jun 13,44D90F10-7E85-084B-BA86-D991B3E7A844,03/17/2020
A20517,x,Ectocarpus,sp.,1965 Jun 12,8E489044-FCE5-AC47-9A80-E5DE601EC46B,03/17/2020
A8215,x,Ectocarpus,sp.,1960 Jul 13,99B8F641-2A6E-BA41-A49C-D015A87E05B8,03/17/2020
A8165,x,Ectocarpus,sp.,1960 Jun 25,64D72CE0-9DE0-2949-ADE8-D8374674247A,03/17/2020
A8298,x,Ectocarpus,sp.,1960 Jun 12,36CF0182-C550-7E42-BCA7-E13AA1E61E0F,03/17/2020
A8355,x,Ectocarpus,sp.,1960 Jun 23,C7CD1A5E-7186-BB47-9BB5-F7D5CD0A2544,03/17/2020
A8156,x,Ectocarpus,sp.,1960 Jun 23,4E636352-FCCA-8E4D-AA25-2F34CBB7B8C6,03/17/2020
A8354,x,Ectocarpus,sp.,1960 Jun 23,F3BAFE4B-B737-BE4F-B3D7-9C73180C58D2,03/17/2020
A47126,x,Ectocarpus,sp.,1969 Oct 16,F3E5C89E-2E15-3448-A73C-12E813823C66,03/17/2020
A63112,x,Ectocarpus,siliculosus,1979 May 09,1EFA57FA-BA92-9844-9EB6-49EFBF8A8439,03/17/2020
A30989,x,Ectocarpus,sp.,1967 Jul 20,550495A0-ABEF-2249-BCC1-E7BC902BC67C,03/17/2020
A8507,x,Ectocarpus,sp.,1958 Aug 15,A43C0C82-5503-9D4B-B49D-B22471B84920,03/17/2020
A8519,x,Ectocarpus,sp.,1958 Aug 15,62678696-80BD-324B-BC99-AC81147AC1C0,03/17/2020
A52598,x,Ectocarpus,sp.,1969 Jan 18,2E0030E3-B02E-474F-814E-245D5862CFCD,03/17/2020
